Snapshot Date,Warehouse,Seller SKU,WB SKU (NmID),Size,ChrtID,Quantity
2026-07-23,Актобе,ALEXALACIVERT,203803475,46-48,328154136,1
2026-07-23,Актобе,ALEXASAKSMAVI,233025615,46-48,367459047,1
2026-07-23,Актобе,ALEXASIYAH01,150065294,46-48,259276808,1
2026-07-23,Актобе,ARINALACIVERT,233020824,58-60,367452725,1
2026-07-23,Актобе,ARINAMOR,233020825,58-60,367452729,1
2026-07-23,Актобе,SONNALACIVERT,172997228,46-48,286972963,1
2026-07-23,Актобе,SONNAMOR,172997224,46-48,286972951,1
2026-07-23,Актобе,SONNASIYAH,150171052,46-48,259276469,1
2026-07-23,Актобе,ZARALACIVERT01,150060261,50-52,251681598,1
2026-07-23,Актобе,ZARASAMPANYA,233025595,50-52,367458947,1
2026-07-23,Актобе,ZARASIYAH01,150060262,58-60,251681603,1
2026-07-23,Астана Карагандинское шоссе,ESMASAKSMAVI,233025603,46-48,367458990,1
2026-07-23,Астана Карагандинское шоссе,SONNASIYAH,150171052,46-48,259276469,1
2026-07-23,Атакент,ARISIYAH01,155298180,50-52,259285054,1
2026-07-23,Атакент,ARISIYAH01,155298180,58-60,259285056,1
2026-07-23,Атакент,ESMALACIVERT,233025599,46-48,367458962,1
2026-07-23,Атакент,SONNAMOR,172997224,46-48,286972951,1
2026-07-23,Атакент,SONNAMOR,172997224,58-60,286972954,1
2026-07-23,Вёшки,ALEXALACIVERT,203803475,58-60,328154150,0
2026-07-23,Вёшки,LILYYESIL01,197648828,46-48,320433826,0
2026-07-23,Владивосток WB,ALEXABORDO,172994281,46-48,286969938,1
2026-07-23,Владимир WB,ALEXABORDO,172994281,46-48,286969938,1
2026-07-23,Владимир WB,ALEXASIYAH01,150065294,46-48,259276808,2
2026-07-23,Владимир WB,ALEXAYESIL,233025616,54-56,367459053,1
2026-07-23,Владимир WB,ALEXAYESIL,233025616,58-60,367459054,0
2026-07-23,Владимир WB,ARINABORDO,233020826,50-52,367452731,2
2026-07-23,Владимир WB,ARINALACIVERT,233020824,46-48,367452722,1
2026-07-23,Владимир WB,ARINALACIVERT,233020824,58-60,367452725,0
2026-07-23,Владимир WB,ARINAMOR,233020825,46-48,367452726,1
2026-07-23,Владимир WB,ARINAMOR,233020825,50-52,367452727,2
2026-07-23,Владимир WB,ARISIYAH01,155298180,46-48,259285053,1
2026-07-23,Владимир WB,ESMALACIVERT,233025599,46-48,367458962,1
2026-07-23,Владимир WB,LILYSIYAH01,150064437,58-60,251686994,0
2026-07-23,Владимир WB,SONNABORDO,172997223,58-60,286972950,0
2026-07-23,Владимир WB,SONNAMOR,172997224,58-60,286972954,1
2026-07-23,Владимир WB,SONNASAKSMAVI,233025589,50-52,367458923,3
2026-07-23,Владимир WB,SONNASAKSMAVI,233025589,54-56,367458924,2
2026-07-23,Владимир WB,SONNASAKSMAVI,233025589,58-60,367458925,1
2026-07-23,Владимир WB,SONNAYESIL,233025590,54-56,367458928,1
2026-07-23,Владимир WB,SONNAYESIL,233025590,58-60,367458929,2
2026-07-23,Владимир WB,ZARALACIVERT01,150060261,58-60,251681600,1
2026-07-23,Владимир WB,ZARASAKSMAVI,233025591,50-52,367458931,1
2026-07-23,Владимир WB,ZARASAKSMAVI,233025591,54-56,367458932,1
2026-07-23,Владимир WB,ZARASAMPANYA,233025595,46-48,367458946,0
2026-07-23,Владимир WB,ZARASAMPANYA,233025595,54-56,367458948,1
2026-07-23,Владимир WB,ZARASAMPANYA,233025595,58-60,367458949,1
2026-07-23,Владимир WB,ZARASIYAH01,150060262,54-56,251681602,2
2026-07-23,Владимир WB,ZARASIYAH01,150060262,58-60,251681603,1
2026-07-23,Владимир WB,ZARAYESIL,233025592,46-48,367458934,1
2026-07-23,Внуково,ZARALACIVERT01,150060261,58-60,251681600,0
2026-07-23,Волгоград,ALEXABORDO,172994281,46-48,286969938,1
2026-07-23,Волгоград,ALEXALACIVERT,203803475,46-48,328154136,1
